Title,Description,Likes,Views,Comments
Logan Paul & KSI Surprise Fans With Prime Energy,"New year, new product. Introducing Prime ENERGY⚡️ 
PRIME Store Locator ► https://drinkprime.com/pages/where-to-buy
Available at Walmart, Target, Kroger, Vitamin Shoppe, GNC, & more…
SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan

Watch Previous Vlog (I Took 4,120 Polaroids In 99 Days) ► https://youtu.be/XsGOQP-B0gU

ADD ME ON:
INSTAGRAM: https://www.instagram.com/LoganPaul/
TWITTER: https://twitter.com/LoganPaul

Watch our IMPAULSIVE Podcast ► https://www.youtube.com/impaulsive
OR IMPAULSIVE CLIPS ► https://www.youtube.com/impaulsiveclips

I’m a 27 year old living Puerto Rico. This is my life.
https://www.youtube.com/LoganPaulVlogso",93448,1801244,N/A
I’ll Never Fight Again,"Get the WWE Logan Paul Action Figure ► https://Creations.Mattel.com
SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan

Watch Previous Vlog (I Took 4,120 Polaroids In 99 Days) ► https://youtu.be/XsGOQP-B0gU

ADD ME ON:
INSTAGRAM: https://www.instagram.com/LoganPaul/
TWITTER: https://twitter.com/LoganPaul

Watch our IMPAULSIVE Podcast ► https://www.youtube.com/impaulsive
OR IMPAULSIVE CLIPS ► https://www.youtube.com/impaulsiveclips

I’m a 27 year old living Puerto Rico. This is my life.
https://www.youtube.com/LoganPaulVlogs",279318,6243719,N/A
"I Took 4,120 Polaroids In 99 Days","📸 99 Original, 1/1 Polaroids by LP ► https://originals.com
On August 21, 2021, I was thrust into a creative maelstrom that tied together every piece of my life in the past, present, and future. The following 99 days would cultivate the most transformative journey of my life…

I pushed myself to the furthest mental and physical depths while trekking 84,029 miles around the globe with a Polaroid camera. 

During that time, I broke bones, witnessed miracles, nearly severed my family, experienced substance addiction, travelled with the world’s wealthiest, fell in love (more than once), lived dangerously in the present, and concluded with 99 of the most significant moments of my life captured on tangible film. 

This is the story of 99 Originals.

FOLLOW 99 ORIGINALS:
DISCORD: https://discord.com/invite/originalsdao
INSTAGRAM: https://www.instagram.com/99originals/
TWITTER: https://twitter.com/originalsdao

SUBSCRIBE FOR VLOGS! ► http://bit.ly/Subscribe2Logan

Lead Editor:
Hayden Hillier-Smith @HillierSmith 

ADD ME ON:
INSTAGRAM: https://www.instagram.com/LoganPaul/
TWITTER: https://twitter.com/LoganPaul

Watch our IMPAULSIVE Podcast ► https://www.youtube.com/impaulsive
OR IMPAULSIVE CLIPS ► https://www.youtube.com/impaulsiveclips

I’m a 27 year old multi-hyphenate living in Puerto Rico. This is my life.
https://www.youtube.com/LoganPaulVlogs

Chapters:
0:00 Intro
1:24 #56 UpDog
2:12 #34 Mermaids Don’t Exist (Anymore)
3:12 #9 Exit My Orbit
4:08 #28 Jake Paul Beats Tyron Woodley
5:09 #29 Victory Lap
5:47 #75 Ephelides
6:33 #31 Mike Tyson’s Pigeons
7:30 #92 Cannibal
8:23 #81 Black Mirror
9:19 #74 Salvador Pyramid
10:02 #51 Stonehenge
10:59 #58 Was Has Gas Du Gedacht
11:59 #16 A Demolition Of The Third Metacarpal
13:00 #41 The April Fool
13:45 #78 A Very Liberating Experience
14:38 #94 Beautiful Nowhere
15:27 #73 Flightless
16:20 #12 The Mountain
17:02 #25 Whale?
18:02 #72 Flight to Flight to Flight
19:03 #15 Fortune Favors The Bold
19:49 #14 Bored Ape
20:46 #20 Orange Sunshine
21:41 #35 A Broken World Record
22:04 #76 Life & Death
22:47 #23 Two Tabs of LSD
23:36 #36 David Choe, Really Interesting Person
24:48 #61 Recovery Room
25:36 #22, #77, #55 Twins
26:21 #83 To The Honeymoon
27:16 #50 Bullseye
28:15 #1 Original_One
28:52 #97 Chasing Tarantino
29:49 #5 Thank You Gary
30:49 #93 Alec Monopoly Tags A G4
31:55 #37 Fully Belly Afternoon
32:56 #52 Apex Predators
33:18 #96 Mother & Son
34:13 #90 Shipwrecked
34:54 #98 Vitruvian Woman
35:48 #65 Where You Go, I Go
37:21 #85 The Last Blockbuster
38:19 #64 Rainbow Road
39:21 #99 Originals

Premium Music Provided by Lickd.
Get this and other songs for your next YouTube video at https://lickd.co

Get A Spaceman Came Travelling by Chris De Burgh
here https://lickd.lnk.to/H6YopTID!Logan%20Paul
License ID: VOWLZqK72YJ

Get F**k by Oliver Tree
Here https://lickd.lnk.to/srzo0NID!Logan%20Paul
License ID: 5K6dpwP56VD

Get Bring Back The Happiness by Stone Foundation
here https://t.lickd.co/a3c515c965634ce3b3d3d719bad6120b
License ID: lDW4y0vkrYQ

Get It Must Be Love (2009 - Remaster) by Madness
here https://lickd.lnk.to/cb5SFmID!Logan%20Paul
License ID: MD46mkl71ez

Get Gold (2003 Remaster) by Spandau Ballet
here https://lickd.lnk.to/h1p6AqID!Logan%20Paul
License ID: zadWlVPvKrv

Get Gold (Instrumental) by Spandau Ballet here https://t.lickd.co/42f5c8a64b3e405fa59eff5990d6731b
License ID: qe0gyJjjXp6

Get The Power Of Love by Frankie Goes To Hollywood
here https://lickd.lnk.to/2IQlmdID!Logan%20Paul
License ID: 7ylW4LawnwL

Get The Power Of Love (Instrumental Singlette Version) by Frankie Goes To Hollywood
here https://t.lickd.co/9d176852f9b2489a9eb4d12bec432b02
License ID: VAE2L82Zlaq

Get Never Enough(Orchestral Version) by Visage here https://t.lickd.co/5334d7fe82f94b11b82901b3c957ffa4
License ID: kdpjr2dMpQb

Get Rather You Shot Me Down by The Urban Voodoo Machine here https://t.lickd.co/8a81be07489a44af8a740ebb9bc249fc
License ID: 2V18gPEzJy4

Get Love Me Again by John Newman
here https://lickd.lnk.to/RqBy3dID!Logan%20Paul
License ID: w1Qnk1pPYjy

Get Bad To The Bone by George Thorogood & The Destroyers
here https://lickd.lnk.to/wdoajiID!Logan%20Paul
License ID: WP3PonAVan5",466267,8731874,13970
"I Bought The World’s Most Expensive Pokémon Card ($5,300,000)","Available NOW! Co-own the PSA 10 Pikachu Illustrator with me on Liquid MarketPlace ► https://trade.liquidmarketplace.io/signup?aff=Illustrator
SUBSCRIBE FOR MORE ► http://bit.ly/Subscribe2Logan

ADD ME ON INSTAGRAM:
https://www.instagram.com/LoganPaul/

Watch our IMPAULSIVE Podcast ► https://www.youtube.com/impaulsive
OR IMPAULSIVE CLIPS ► https://www.youtube.com/impaulsiveclips

Watch Previous Vlog (Logan Paul & KSI Went Bald For Prime) ► https://youtu.be/cbGmzdjcAYw

Edited by: Hayden Hillier-Smith (@HillierSmith )
https://www.instagram.com/hhilliersmith/

Director of Photography: Kevin Galvan (@KevinGMov)
https://www.instagram.com/kevingmov/

Pokemon Style Animation by:  @HowardWimshurst 
http://www.howardwimshurst.com/

Additional Sound Design and Mix: Vannessa Audio (@sounddesign1012 )
https://youtube.com/channel/UCBanmmeC5ylIe8dG-MUOoJQ

Additional Visual FX: Finn Hitchcock (@FinnHitchcock)
https://www.instagram.com/finn.hitchcock/

Character Pixel Art by: Ejay Fernandez
https://www.fiverr.com/ejayfernandez

Pokemon Map Art by: Gianni Piccioni
https://www.fiverr.com/giannipiccioni


I’m a 27 year old living in Puerto Rico. This is my life.
https://www.youtube.com/LoganPaulVlogs",291230,8200525,8545
Logan Paul & KSI Went Bald For Prime,"Stay hydrated. Drink Prime ► https://drinkprime.com
SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan

Watch Previous Vlog (Logan Paul & KSI Go Undercover At Walmart) ► https://youtu.be/gHJaXRZElXs

Music by Too Many T's
Spotify: https://spoti.fi/3ytE743
Apple: https://apple.co/399eV8k
Insta/TikTok: @toomanyts 

Edited by: @HillierSmith 
INSTAGRAM: https://www.instagram.com/hhilliersmith/
TWITTER: https://twitter.com/hhilliersmith

Shot By: 
https://instagram.com/kevingmov
https://instagram.com/davidsonn

ADD ME ON:
INSTAGRAM: https://www.instagram.com/LoganPaul/
TWITTER: https://twitter.com/LoganPaul

Watch our IMPAULSIVE Podcast ► https://www.youtube.com/impaulsive
OR IMPAULSIVE CLIPS ► https://www.youtube.com/impaulsiveclips

I’m a 27 year old creator living in Puerto Rico. This is my life.
https://www.youtube.com/LoganPaulVlogs",419292,6400688,13258
I Made A Masterpiece | Logan Paul's 99 Originals (Official Trailer),"Coming April 18...
📸 99 Original, 1/1 Polaroids by LP ► https://originals.com
On August 21, 2021, I was thrust into a creative maelstrom that tied together every piece of my life in the past, present, and future. The following 99 days would cultivate the most transformative journey of my life…

I pushed myself to the furthest mental and physical depths while trekking 84,029 miles around the globe with a Polaroid camera. 

During that time, I broke bones, witnessed miracles, nearly severed my family, experienced substance addiction, travelled with the world’s wealthiest, fell in love (more than once), lived dangerously in the present, and concluded with 99 of the most significant moments of my life captured on tangible film. 

This is the story of 99 Originals.

FOLLOW 99 ORIGINALS:
INSTAGRAM: https://www.instagram.com/99originals/
TWITTER: https://twitter.com/originalsdao

Watch our IMPAULSIVE Podcast ► https://www.youtube.com/impaulsive
OR IMPAULSIVE CLIPS ► https://www.youtube.com/impaulsiveclips

I’m a 27 year old artist living in Puerto Rico. This is my life.
https://www.youtube.com/LoganPaulVlogs

Assistant Editor: Keila Dolle
https://instagram.com/keiladolle?igshid=YmMyMTA2M2Y=

Director of Photography: Kevin Galvan (@KevinGMov)",169173,3046033,4561
Logan Paul & Arnold Schwarzenegger | Slap Fighting Championship (Official Live Stream),"Arnold Schwarzenegger and Logan Paul, together with Fanmio and PunchDown, are bringing you the premier of Slap Fighting Championship. Watch the adrenaline and intensity of one the most exciting new combat sports with 16 different matches including 3-time champion ""Zaleś"" Zalewski taking on the American slap fighting sensation, Da Crazy Hawaiian, Saturday, March 5, 2022.
SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan
Watch Previous Vlog (Logan Paul & KSI Go Undercover At Walmart) ► https://youtu.be/gHJaXRZElXs

***WARNING. Do not try this at home.
The following show features competitive slap fighting performed by and monitored by professionals with medical staff on site.  Slapping hurts and can cause serious injuries.  For your safety and the protection of others, do not attempt any version of the slap fighting you are about to see.  Do not attempt to recreate or re-enact any fighting or slapping activity performed on this show.  [NETWORK] and the producers and distributors of this program shall not be held liable for any injuries to you or others should you attempt to reenact any activity performed in this program.***

ADD ME ON:
INSTAGRAM: https://www.instagram.com/LoganPaul/
TWITTER: https://twitter.com/LoganPaul

Watch our IMPAULSIVE Podcast ► https://www.youtube.com/impaulsive
OR IMPAULSIVE CLIPS ► https://www.youtube.com/impaulsiveclips

Lootie: Use code FREE for a free mystery box
https://www.lootie.com/r/free

I’m a 26 year old living in Puerto Rico. This is my life.
https://www.youtube.com/LoganPaulVlogs",105717,10773132,6057
Logan Paul & KSI Go Undercover At Walmart,"After years of heated rivalry, we’re humbled & honored to bring you Prime Hydration.
Follow @DrinkPrime on Instagram ► https://www.instagram.com/drinkprime/
SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan

Watch Previous Vlog (I Started A Drink Company With KSI) ► https://youtu.be/hmXTBjM0is4

ADD ME ON:
INSTAGRAM: https://www.instagram.com/LoganPaul/
TWITTER: https://twitter.com/LoganPaul

Watch our IMPAULSIVE Podcast ► https://www.youtube.com/impaulsive
OR IMPAULSIVE CLIPS ► https://www.youtube.com/impaulsiveclips

I’m a 26 year old lad residing in Puerto Rico. This is my life.
https://www.youtube.com/LoganPaulVlogs


Edited by: @HillierSmith 
Shot by: @kevingmov - @Andreduqum  - @davidsonn

⚠ DISCLAIMER ⚠
Please be advised; the situations, subject matter, and satirical content contained in this vlog are for entertainment purposes only! Under no circumstances should any activities, stunts, or dramatic interpretations included in this content be replicated/attempted in any capacity by viewers. Again, any and all dramatic interpretations are for entertainment purposes. Product benefits and ingredients are expressly listed on product packaging. Prime does not heal ailments or STD’s.",620479,10538624,15103
"I Lost $3,500,000 On Fake Pokémon Cards","Drink Prime so I can get my $3,500,000 back :)
Follow @DrinkPrime on Instagram ► https://www.instagram.com/drinkprime/

SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan

Watch Previous Vlog (I Started A Drink Company With KSI) ► https://youtu.be/hmXTBjM0is4

ADD ME ON:
INSTAGRAM: https://www.instagram.com/LoganPaul/
TWITTER: https://twitter.com/LoganPaul

Watch our IMPAULSIVE Podcast ► https://www.youtube.com/impaulsive
OR IMPAULSIVE CLIPS ► https://www.youtube.com/impaulsiveclips

I’m a 26 year old manchild living in Puerto Rico. This is my life.
https://www.youtube.com/LoganPaulVlogs

G.I. Joe Theme
https://youtu.be/m2NvdKTSRS0

Edited by: @HillierSmith
Shot by: Kevin Galvan",388981,7731523,20302
I Started A Drink Company With KSI,"After years of heated rivalry, we’re humbled & honored to bring you Prime Hydration.
Follow @DrinkPrime on Instagram ► https://www.instagram.com/drinkprime/
SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan

ADD ME ON:
INSTAGRAM: https://www.instagram.com/LoganPaul/
TWITTER: https://twitter.com/LoganPaul

Watch our IMPAULSIVE Podcast ► https://www.youtube.com/impaulsive
OR IMPAULSIVE CLIPS ► https://www.youtube.com/impaulsiveclips

I’m a 26 year old creator living in Puerto Rico. This is my life.
https://www.youtube.com/LoganPaulVlogs

Edited by: @HillierSmith",487123,8013060,13983
